elev,N,count,median,p25,p75
8,0,17,0.618,0.585,0.704
8,2,14,0.682,0.564,0.751
8,3,9,0.644,0.545,0.68
8,5,12,0.612,0.576,0.864
8,6,21,0.597,0.481,0.664
8,7,23,0.579,0.455,0.745
8,8,67,0.411,0.208,0.561
13,0,17,0.652,0.605,0.747
13,2,29,0.71,0.668,0.789
13,3,13,0.692,0.652,0.705
13,5,19,0.749,0.634,0.802
13,6,35,0.679,0.577,0.828
13,7,18,0.629,0.468,0.677
13,8,144,0.302,0.179,0.447
18,0,12,0.758,0.692,0.88
18,2,21,0.753,0.696,0.876
18,3,17,0.663,0.584,0.755
18,5,17,0.702,0.62,0.862
18,6,45,0.69,0.585,0.84
18,7,33,0.513,0.403,0.624
18,8,196,0.283,0.173,0.434
23,0,13,0.768,0.719,0.807
23,2,11,0.82,0.722,0.904
23,3,6,0.669,0.595,0.784
23,5,17,0.823,0.787,0.898
23,6,27,0.829,0.724,1.001
23,7,20,0.544,0.416,0.867
23,8,88,0.261,0.194,0.43
28,0,12,0.818,0.759,0.931
28,2,11,0.742,0.718,0.864
28,3,13,0.78,0.728,0.835
28,5,14,0.915,0.808,0.971
28,6,19,0.792,0.587,0.915
28,7,16,0.678,0.477,0.966
28,8,58,0.364,0.221,0.488
33,0,13,0.773,0.743,0.828
33,2,8,0.787,0.732,1.032
33,3,9,0.865,0.838,0.931
33,5,9,0.927,0.835,0.956
33,6,14,0.765,0.649,0.855
33,7,9,0.394,0.276,0.512
33,8,39,0.471,0.231,0.695
38,2,6,0.83,0.757,0.971
38,5,8,0.854,0.762,0.942
38,6,8,0.68,0.501,0.785
38,7,7,0.765,0.598,0.846
38,8,32,0.305,0.201,0.36
43,8,12,0.33,0.206,0.656
